%	%-l
%	%-lt
%	%-ni
644	644-st
90=s	90ndate
AS	ASi
ATS	ATSi
Aaviksoo	Aaviksoo
Achilleus	Achilleuse
aga	Aga
Ahman	Ahman
Andres	Andres
Anne	Anne
ausalt	Ausalt
Bandera	Bandera
Briti	Briti
Cannes	Cannes'i
Coq	Coq'i
D.	D.
Darpa	DARPA
DO	DO
Denikin	Denikini
EAL	EALi
ei	EI
EL	EL-i
EL	ELi
EL	ELis
Eamets	Eamets
Eestimaa	Eestimaa
ehkki	Ehkki
ei	Ei
Ekspress	Ekspress
Ekspress	Ekspressi
Ellamaa	Ellamaa
Ennist	Ennist
Estonian	Estonian
et	Et
European	European
Feer	Feeri
Films	Filmsi
Ford	Fordi
Funk	Funk
Geofüüsika	Geofüüsika
Graal	Graali
Gromit	Gromiti
Haigekassa	Haigekassa
Hansa	Hansa
Hansapank	Hansapanga
Hansapank	Hansapank
Hargis	Hargis
Harjumaa	Harjumaal
Hiiumaa	Hiiumaa
Hiiumaa	Hiiumaal
hobiviroloog	Hobiviroloog
Holm	Holm
II	II
IMF	IMFi
Ida	Ida
IgE	IgE
iga	Iga
iga	Igal
Iirimaa	Iirimaa
Iirimaa	Iirimaal
Ilmoja	Ilmoja
Indrikson	Indrikson
Indrikson	Indriksoni
Inglismaa	Inglismaa
Inglismaa	Inglismaal
Instituut	Instituudi
Internet	Internetis
ja	JA
ja	Ja
Jaanson	Jaanson
Jooga	Jooga
Jooga	Joogaga
Jugoslaavia	Jugoslaavia
Jupiter	Jupiteri
Kadriorg	Kadrioru
kahjuks	Kahjuks
Kala	Kala
Kalejs	Kalejsi
Kalev	Kalevi
Karis	Karis
Karuks	Karuks
keegi	Keegi
Kert	Kerdi
kes	Kes
Keskhaigla	Keskhaigla
Keskkomitee	Keskkomitee
Keskturg	Keskturu
kogu	Kogu
Kokk	Kokk
Kongo	Kongo
Konspiraator	Konspiraator
Kostunica	Kostunica
Kr	Kr.
kui	Kui
kuid	Kuid
kuigi	Kuigi
Kuiper	Kuiperi
kuna	Kuna
Kuu	Kuu
kõik	Kõik
Kõrgemäe	Kõrgemäe
La	La
Laar	Laari
Lasnamäe	Lasnamäe
Lass	Lass
Laululava	Laululava
Leo	Leo
Leopard	Leopard
Liikor	Liikori
Liivamägi	Liivamägi
Linnutee	Linnutee
Luup	Luup
Luus	Luus
Lääs	Lääne
Läänemeri	Läänemere
MM	MMi
mina	Ma
Maa	Maad
Maailmapank	Maailmapank
Maa	Maale
Maiga	Maiga
Makarov	Makarovi
Manson	Mansoni
Marss	Marsi
Mart	Mart
mina	Me
mina	Meie
mina	Meil
Mercedes	Mercedes
Metsamaa	Metsamaa
mis	Mida
miski	Midagi
Mihkelson	Mihkelson
mis	Mille
mina	Mina
mina	Mind
mingi	Mingi
mingi	Mingit
mina	Minu
mis	Mis
Miss	Miss
mitu	Mitu
Mozart	Mozarti
mina	Mu
mina	Mul
mina	Mulle
Mustamäe	Mustamäe
Mõis	Mõis
Mõõdukas	Mõõdukad
NATO	NATOga
tema	Nad
nagu	Nagu
see	Need
tema	Neil
Noarootsi	Noarootsi
nojah	Nojah
Norden	Nordeni
Null	Null
Näks	Näks
Nõukogu	Nõukogu
olema	Olen
olema	Olete
Olümpia	Olümpia
oma	Oma
olema	On
Oort	Oorti
Osilius	Osilius
Ott	Oti
Oxford	Oxfordi
Oxford	Oxfordis
OÜ	OÜ
PM	PM
Pank	Panga
Pank	Pank
Parcival	Parcival
peale	Peale
Pelgulinn	Pelgulinna
Pere	Pere
Petrov	Petrovi
Phillips	Phillipsi
Post	Post
Postimees	Postimees
Postimees	Postimehele
Prantsuse	Prantsuse
Prantsusmaa	Prantsusmaa
Prantsusmaa	Prantsusmaal
Päevaleht	Päevalehes
Päike	Päikese
Päike	Päikesest
Päikesesüsteem	Päikesesüsteemi
Pärjamäe	Pärjamäe
Põhjasõda	Põhjasõja
Rahvusvaheline	Rahvusvahelise
Rail	Rail
Raudtee	Raudtee
Reformierakond	Reformierakonna
Rehemaa	Rehemaa
Riigikogu	Riigikogu
Roostar	Roostar
Suursaar	SUURSAARE
sina	Sa
Saaremaa	Saaremaa
Saksamaa	Saksamaa
Saksamaa	Saksamaal
Sanders	Sanders
Savi	Savi
see	Seda
see	See
see	Sel
see	Selle
selline	Selliseid
Sihtasutus	Sihtasutus
Siiditee	Siiditee
Siiditee	Siiditeed
sina	Sina
sina	Sinu
Sposato	Sposatoga
sina	Su
Sudoku	Sudoku
sina	Sul
Suurbritannia	Suurbritannia
Suurbritannia	Suurbritannias
Sõmera	Sõmera
TOP	TOPi
tema	Ta
tema	Tal
sina	Te
Teataja	Teataja
Teesalu	Teesalu
tegelikult	Tegelikult
sina	Teid
sina	Teie
sina	Teil
Teine	Teist
the	The
Tiigrihüpe	Tiigrihüppe
Tille	Tille
ToolBox	ToolBox
ToolBox	ToolBoxi
Toompea	Toompeal
Torres	Torres
Transport	Transport
Tsee	Tsee
Tšetšeenia	Tshetsheenia
Tuhkatriinu	Tuhkatriinu
Turvas	Turvas
Täht	Täht
Tähtvere	Tähtvere
täna	Täna
Tõnu	Tõnule
USA	USAs
Uuspõld	Uuspõld
Vaarandi	Vaarandi
Vabariik	Vabariigis
Varblane	Varblane
Vask	Vask
Vasur	Vasuri
Vene	Vene
Venemaa	Venemaa
Venemaa	Venemaad
Venemaa	Venemaaga
